RK,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,RPG,APG,STPG,BLKPG,TOPG,PTS,ESPN
1,Nikola Jokic, C,DEN,69,33.7,0.632,0.822,0.8,11.8,9.8,1.3,0.7,3.6,24.5,55.6
2,Joel Embiid, C,PHI,66,34.6,0.548,0.857,1,10.2,4.2,1,1.7,3.4,33.1,55.4
3,Luka Doncic, PG,DAL,66,36.2,0.496,0.742,2.8,8.6,8,1.4,0.5,3.6,32.4,55
4,Giannis Antetokounmpo, PF,MIL,63,32.1,0.553,0.645,0.7,11.8,5.7,0.8,0.8,3.9,31.1,52.9
5,Damian Lillard, PG,POR,58,36.3,0.463,0.914,4.2,4.8,7.3,0.9,0.3,3.3,32.2,50.5
6,LeBron James, SF,LAL,55,35.5,0.5,0.768,2.2,8.3,6.8,0.9,0.6,3.2,28.9,49.6
7,Shai Gilgeous-Alexander, PG,OKC,68,35.5,0.51,0.905,0.9,4.8,5.5,1.6,1,2.8,31.4,49.3
8,Kevin Durant, PF,PHO,47,35.6,0.56,0.919,2,6.7,5,0.7,1.4,3.3,29.1,49.1
9,Jayson Tatum, SF,BOS,74,36.9,0.466,0.854,3.2,8.8,4.6,1.1,0.7,2.9,30.1,48.6
10,Anthony Davis, PF,LAL,56,34,0.563,0.784,0.3,12.5,2.6,1.1,2,2.2,25.9,48.6
11,Stephen Curry, PG,GSW,56,34.7,0.493,0.915,4.9,6.1,6.3,0.9,0.4,3.2,29.4,48.5
12,Domantas Sabonis, PF,SAC,79,34.6,0.615,0.742,0.4,12.3,7.3,0.8,0.5,2.9,19.1,44.8
13,Kyrie Irving, PG,DAL,60,37.4,0.494,0.905,3.1,5.1,5.5,1.1,0.8,2.1,27.1,44.5
14,Ja Morant, PG,MEM,61,31.9,0.466,0.748,1.5,5.9,8.1,1.1,0.3,3.4,26.2,43.8
15,James Harden, SG,PHI,58,36.8,0.441,0.867,2.8,6.1,10.7,1.2,0.5,3.4,21,43.6
16,Trae Young, PG,ATL,73,34.8,0.43,0.886,2.1,3,10.2,1.1,0.1,4.1,26.2,43.5
17,Zion Williamson, PF,NOR,29,33,0.608,0.714,0.2,7,4.6,1.1,0.6,3.4,26,43.3
18,Devin Booker, SG,PHO,53,34.6,0.494,0.855,2.1,4.5,5.5,1,0.3,2.7,27.8,43
19,Donovan Mitchell, SG,CLE,68,35.8,0.484,0.867,3.6,4.3,4.4,1.5,0.4,2.6,28.3,42.7
20,Tyrese Haliburton, PG,IND,56,33.6,0.49,0.871,2.9,3.7,10.4,1.6,0.4,2.5,20.7,42.6
21,Pascal Siakam, PF,TOR,71,37.4,0.48,0.774,1.3,7.8,5.8,0.9,0.5,2.4,24.2,42.1
22,Julius Randle, PF,NYK,77,35.5,0.46,0.757,2.8,10,4.1,0.6,0.3,2.8,25.1,41.8
23,LaMelo Ball, PG,CHA,36,35.2,0.411,0.843,4,6.4,8.4,1.3,0.3,3.6,23.3,41.8
24,Lauri Markkanen, PF,UTH,66,34.4,0.499,0.875,3,8.6,1.9,0.6,0.6,1.9,25.6,40.9
25,Jaylen Brown, SG,BOS,67,35.9,0.491,0.765,2.4,6.9,3.5,1.1,0.4,2.9,26.6,40.9
26,Jimmy Butler, SF,MIA,64,33.4,0.539,0.85,0.6,5.9,5.3,1.8,0.3,1.6,22.9,40.8
27,De'Aaron Fox, PG,SAC,73,33.4,0.512,0.78,1.6,4.2,6.1,1.1,0.3,2.5,25,40.8
28,Kawhi Leonard, SF,LAC,52,33.6,0.512,0.871,2,6.5,3.9,1.4,0.5,1.7,23.8,40.4
29,Brandon Ingram, SF,NOR,45,34.2,0.484,0.882,1.4,5.5,5.8,0.7,0.4,3.3,24.7,40.1
30,Kristaps Porzingis, C,WAS,65,32.6,0.498,0.851,2.1,8.4,2.7,0.9,1.5,2.1,23.2,40
31,DeMar DeRozan, SF,CHI,74,36.2,0.504,0.872,0.6,4.6,5.1,1.1,0.5,2.1,24.5,39.7
32,Paul George, F,LAC,56,34.6,0.457,0.871,2.8,6.1,5.1,1.5,0.4,3.1,23.8,39.3
33,Jalen Brunson, PG,NYK,68,35,0.491,0.829,2,3.5,6.2,0.9,0.2,2.1,24,38.8
34,Anthony Edwards, SG,MIN,79,36,0.459,0.756,2.7,5.8,4.4,1.6,0.7,3.3,24.6,38.8
35,Karl-Anthony Towns, C,MIN,29,33,0.495,0.874,2.1,8.1,4.8,0.7,0.6,3,20.8,38
36,Zach LaVine, SG,CHI,77,35.9,0.485,0.848,2.6,4.5,4.2,0.9,0.2,2.5,24.8,37.9
37,Bradley Beal, SG,WAS,50,33.5,0.506,0.842,1.6,3.9,5.4,0.9,0.7,2.9,23.2,37.6
38,Bam Adebayo, C,MIA,75,34.6,0.54,0.806,0,9.2,3.2,1.2,0.8,2.5,20.4,37.4
39,Darius Garland, PG,CLE,69,35.5,0.462,0.863,2.4,2.7,7.8,1.2,0.1,2.9,21.6,36.8
40,Jrue Holiday, PG,MIL,67,32.6,0.479,0.859,2.4,5.1,7.4,1.2,0.4,2.9,19.3,36.7
41,Nikola Vucevic, C,CHI,82,33.5,0.52,0.835,1.5,11,3.2,0.7,0.7,1.7,17.6,36.5
42,Dejounte Murray, SG,ATL,74,36.4,0.464,0.832,1.8,5.3,6.1,1.5,0.3,2.2,20.5,36.3
43,RaiQuan Gray, F,BKN,1,35,0.5,1,2,9,7,0,1,4,16,36.1
44,Desmond Bane, SG,MEM,58,31.7,0.479,0.883,2.9,5,4.4,1,0.4,2.2,21.5,35.5
45,Fred VanVleet, SG,TOR,69,36.7,0.393,0.898,3,4.1,7.2,1.8,0.6,2,19.3,35.2
46,CJ McCollum, SG,NOR,75,35.3,0.437,0.769,2.8,4.4,5.7,0.9,0.5,2.4,20.9,34.4
47,Deandre Ayton, C,PHO,67,30.4,0.589,0.76,0.1,10,1.7,0.6,0.8,1.8,18,34.2
48,Jamal Murray, PG,DEN,65,32.8,0.454,0.833,2.6,4,6.2,1,0.2,2.2,20,34.2
49,Kyle Kuzma, SF,WAS,64,35,0.448,0.73,2.5,7.2,3.7,0.6,0.5,3,21.2,34
50,Josh Giddey, SG,OKC,76,31.1,0.482,0.731,1,7.9,6.2,0.8,0.4,2.8,16.6,33.9
51,Cade Cunningham, PG,DET,12,33.3,0.415,0.837,1.4,6.2,6,0.8,0.6,3.3,19.9,33.9
52,Kevin Porter Jr., SG,HOU,59,34.3,0.442,0.784,2.4,5.3,5.7,1.4,0.3,3.2,19.2,33.3
53,Jaren Jackson Jr., PF,MEM,63,28.4,0.506,0.788,1.6,6.8,1,1,3,1.7,18.6,33.1
54,Myles Turner, C,IND,62,29.4,0.548,0.783,1.5,7.5,1.4,0.6,2.3,1.7,18,33.1
55,Evan Mobley, PF,CLE,79,34.4,0.554,0.674,0.3,9,2.8,0.8,1.5,1.8,16.2,32.9
56,Terry Rozier, SG,CHA,63,35.3,0.415,0.809,2.6,4.1,5.1,1.2,0.3,2.1,21.1,32.8
57,Skylar Mays, SG,POR,6,31.5,0.5,0.923,2,3.2,8.3,1,0.2,1.7,15.3,32.7
58,Tyler Herro, PG,MIA,67,34.9,0.439,0.934,3,5.4,4.2,0.8,0.2,2.4,20.1,32.6
59,Mikal Bridges, SF,BKN,83,35.7,0.468,0.895,2,4.4,3.3,1.1,0.7,1.5,20.1,32.4
60,Chris Paul, PG,PHO,59,32,0.44,0.831,1.7,4.3,8.9,1.5,0.4,1.9,13.9,32.2
61,Keldon Johnson, SF,SAS,63,32.7,0.452,0.749,2.1,5,2.9,0.7,0.2,2.1,22,31.8
62,Alperen Sengun, C,HOU,75,28.9,0.553,0.715,0.3,9,3.9,0.9,0.9,2.6,14.8,31.7
63,Paolo Banchero, PF,ORL,72,33.8,0.427,0.738,1.2,6.9,3.7,0.8,0.5,2.8,20,31.7
64,Louis King, SF,PHI,1,29,0.615,0,4,4,2,1,0,2,20,31.6
65,Klay Thompson, SG,GSW,69,33,0.436,0.879,4.4,4.1,2.4,0.7,0.4,1.8,21.9,31.5
66,Russell Westbrook, PG,LAC,73,29.1,0.436,0.656,1.2,5.8,7.5,1,0.5,3.5,15.9,31.4
67,D'Angelo Russell, PG,LAL,71,32.5,0.469,0.829,2.7,3,6.2,1,0.4,2.6,17.8,31.3
68,Jordan Clarkson, PG,UTH,61,32.6,0.444,0.816,2.5,4,4.4,0.5,0.2,3,20.8,31.3
69,Jerami Grant, SF,POR,63,35.7,0.475,0.813,2.3,4.5,2.4,0.8,0.8,1.8,20.5,31.2
70,Bojan Bogdanovic, SF,DET,59,32.1,0.488,0.884,2.5,3.8,2.6,0.6,0.1,2.3,21.6,31.2
71,Jarrett Allen, C,CLE,68,32.6,0.644,0.733,0,9.8,1.7,0.8,1.2,1.4,14.3,31.1
72,Anfernee Simons, SG,POR,62,35,0.447,0.894,3.4,2.6,4.1,0.7,0.2,2.1,21.1,31.1
73,Spencer Dinwiddie, PG,BKN,79,34.5,0.438,0.812,2.3,3.4,6.5,0.8,0.3,1.8,17.3,31.1
74,Tyrese Maxey, PG,PHI,60,33.6,0.481,0.845,2.7,2.9,3.5,0.8,0.1,1.3,20.3,30.9
75,Nic Claxton, C,BKN,76,29.9,0.705,0.541,0,9.2,1.9,0.9,2.5,1.3,12.6,30.9
76,Jalen Green, SG,HOU,76,34.2,0.417,0.786,2.5,3.7,3.7,0.8,0.2,2.6,22.1,30.8
77,Rudy Gobert, C,MIN,70,30.7,0.659,0.644,0,11.6,1.2,0.8,1.4,1.7,13.4,30.7
78,Scottie Barnes, SF,TOR,77,34.8,0.456,0.772,0.8,6.6,4.8,1.1,0.8,2,15.3,30.2
79,Brook Lopez, C,MIL,78,30.4,0.531,0.784,1.7,6.7,1.3,0.5,2.5,1.4,15.9,30
80,Aaron Gordon, PF,DEN,68,30.2,0.564,0.608,0.9,6.6,3,0.8,0.8,1.4,16.3,30
81,Jordan Poole, SG,GSW,82,30,0.43,0.87,2.6,2.7,4.5,0.8,0.3,3.1,20.4,29.9
82,Franz Wagner, SF,ORL,80,32.6,0.485,0.842,1.6,4.1,3.5,1,0.2,2.1,18.6,29.6
83,Christian Wood, F,DAL,67,25.9,0.515,0.772,1.6,7.3,1.8,0.4,1.1,1.8,16.6,29.5
84,Wendell Carter Jr., C,ORL,57,29.6,0.525,0.738,1.4,8.7,2.3,0.5,0.6,1.9,15.2,29.4
85,Devin Vassell, SG,SAS,38,31,0.439,0.78,2.7,3.9,3.6,1.1,0.4,1.5,18.5,29.4
86,Jakob Poeltl, C,TOR,72,26.5,0.629,0.592,0,9.1,2.7,0.9,1.2,1.7,12.5,29.1
87,Jonas Valanciunas, C,NOR,79,24.9,0.547,0.826,0.5,10.2,1.8,0.3,0.7,2,14.1,28.9
88,Clint Capela, C,ATL,65,26.6,0.653,0.603,0,11,0.9,0.7,1.2,0.8,12,28.8
89,Kelly Oubre Jr., SG,CHA,48,32.3,0.431,0.76,2.3,5.2,1.1,1.4,0.4,1.3,20.3,28.7
90,Andrew Wiggins, SF,GSW,37,32.2,0.473,0.611,2.4,5,2.3,1.2,0.8,1.3,17.1,28.3
91,Buddy Hield, SG,IND,80,31,0.458,0.822,3.6,5,2.8,1.2,0.3,1.7,16.8,28.3
92,Kris Dunn, G,UTH,22,25.8,0.537,0.774,0.8,4.5,5.6,1.1,0.5,1.6,13.2,28.3
93,Jusuf Nurkic, C,POR,52,26.8,0.519,0.661,0.8,9.1,2.9,0.8,0.8,2.3,13.3,28.1
94,O.G. Anunoby, SF,TOR,67,35.6,0.476,0.838,2.1,5,2,1.9,0.7,2,16.8,28
95,RJ Barrett, SG,NYK,73,33.9,0.434,0.74,1.7,5,2.8,0.4,0.2,2.2,19.6,28
96,Markelle Fultz, PG,ORL,60,29.6,0.514,0.783,0.5,3.9,5.7,1.5,0.4,2.3,14,27.9
97,Michael Porter Jr., SF,DEN,62,29,0.487,0.8,3,5.5,1,0.6,0.5,1.1,17.4,27.5
98,Bobby Portis, F,MIL,70,26,0.496,0.768,1.4,9.6,1.5,0.4,0.2,1.2,14.1,27.5
99,Tobias Harris, PF,PHI,74,32.9,0.501,0.876,1.7,5.7,2.5,0.9,0.5,1.2,14.7,27
100,Tre Jones, PG,SAS,68,29.2,0.459,0.86,0.7,3.6,6.6,1.3,0.1,1.6,12.9,26.9
101,Khris Middleton, SF,MIL,33,24.3,0.436,0.902,1.5,4.2,4.9,0.7,0.2,2.2,15.1,26.7
102,Draymond Green, PF,GSW,73,31.5,0.527,0.713,0.5,7.2,6.8,1,0.8,2.8,8.5,26.6
103,Mason Plumlee, C,LAC,79,26,0.68,0.636,0,8.9,3.1,0.6,0.6,1.5,10.8,26.5
104,Jaden Ivey, PG,DET,74,31.1,0.416,0.747,1.6,3.9,5.2,0.8,0.2,3.2,16.3,26.4
105,Malcolm Brogdon, PG,BOS,67,26,0.484,0.87,2,4.2,3.7,0.7,0.3,1.5,14.9,26.4
106,P.J. Washington, PF,CHA,73,32.6,0.444,0.73,2,4.9,2.4,0.9,1.1,1.5,15.7,26.2
107,Jalen Williams, F,OKC,75,30.3,0.521,0.812,1,4.5,3.3,1.4,0.5,1.6,14.1,26.2
108,Gordon Hayward, SF,CHA,50,31.5,0.475,0.811,1,4.3,4.1,0.8,0.2,2,14.7,25.8
109,Immanuel Quickley, SG,NYK,81,28.9,0.448,0.819,2.1,4.2,3.4,1,0.2,1.2,14.9,25.6
110,Kelly Olynyk, PF,UTH,68,28.6,0.499,0.853,1.4,6.2,3.7,0.9,0.5,2.5,12.5,25.6
111,Cameron Johnson, SF,BKN,42,28.6,0.47,0.842,2.5,4.4,1.9,1.2,0.3,0.9,15.5,25.5
112,Kevin Huerter, SG,SAC,75,29.4,0.485,0.725,2.7,3.3,2.9,1.1,0.3,1.3,15.2,25.4
113,Ivica Zubac, C,LAC,76,28.5,0.634,0.697,0,9.9,1,0.4,1.3,1.5,10.8,25.3
114,Mike Conley, PG,MIN,67,30.3,0.428,0.834,2,2.7,6.7,1.1,0.2,1.5,11.9,25.3
115,Steven Adams, C,MEM,42,27,0.597,0.364,0,11.5,2.3,0.9,1.1,1.9,8.6,24.9
116,Josh Hart, SG,NYK,76,32.3,0.529,0.75,0.8,7.8,3.8,1.2,0.3,1.5,9.8,24.8
117,Gary Trent Jr., SG,TOR,66,32.1,0.433,0.839,2.5,2.6,1.6,1.6,0.2,0.8,17.4,24.8
118,Cole Anthony, PG,ORL,60,25.9,0.454,0.894,1.3,4.8,3.9,0.6,0.5,1.5,13,24.8
119,Norman Powell, G,LAC,60,26.1,0.479,0.812,1.9,2.9,1.8,0.8,0.3,1.7,17,24.4
120,John Collins, PF,ATL,71,30,0.508,0.803,1,6.5,1.2,0.6,1,1.1,13.1,24.3
121,Marcus Smart, PG,BOS,61,32.1,0.415,0.746,1.9,3.1,6.3,1.5,0.4,2.3,11.5,24.2
122,Walker Kessler, C,UTH,74,23,0.72,0.516,0,8.4,0.9,0.4,2.3,0.8,9.2,24.2
123,Derrick White, PG,BOS,82,28.3,0.462,0.875,1.8,3.6,3.9,0.7,0.9,1.2,12.4,24.1
124,Kyle Anderson, SF,MIN,69,28.4,0.509,0.735,0.6,5.3,4.9,1.1,0.9,1.5,9.4,24
125,Zach Collins, PF,SAS,63,22.9,0.518,0.761,0.9,6.4,2.9,0.6,0.8,2,11.6,23.8
126,Trey Murphy III, SG,NOR,79,31,0.484,0.905,2.6,3.6,1.4,1.1,0.5,0.8,14.5,23.8
127,Harrison Barnes, SF,SAC,82,32.5,0.473,0.847,1.6,4.5,1.6,0.7,0.1,1,15,23.5
128,Mac McClung, SG,PHI,2,20.5,0.45,0.6,2,5,4.5,0,0,1.5,12.5,23.4
129,Shaquille Harrison, G,LAL,5,24,0.417,0.733,0.6,4.4,6,2.2,0.4,1.2,8.8,23.4
130,Kyle Lowry, PG,MIA,55,31.2,0.404,0.859,1.9,4.1,5.1,1,0.4,1.9,11.2,23.3
131,Bennedict Mathurin, SG,IND,78,28.5,0.434,0.828,1.3,4.1,1.5,0.6,0.2,1.9,16.7,23.2
132,Al Horford, C,BOS,63,30.5,0.476,0.714,2.3,6.2,3,0.5,1,0.6,9.8,23.2
133,Ben Simmons, PG,BKN,42,26.3,0.566,0.439,0,6.3,6.1,1.3,0.6,2.3,6.9,23
134,De'Andre Hunter, SF,ATL,67,31.7,0.461,0.826,1.5,4.2,1.4,0.5,0.3,1.2,15.4,22.9
135,Bogdan Bogdanovic, SG,ATL,54,27.9,0.447,0.831,2.7,3.1,2.8,0.8,0.3,1.2,14,22.9
136,Austin Reaves, SG,LAL,64,28.8,0.529,0.864,1.3,3,3.4,0.5,0.3,1.5,13,22.9
137,Jabari Smith Jr., PF,HOU,79,31,0.408,0.786,1.5,7.2,1.3,0.5,0.9,1.3,12.8,22.8
138,Kenyon Martin Jr., F,HOU,82,28,0.569,0.68,0.8,5.5,1.5,0.5,0.4,1.1,12.7,22.7
139,Robert Williams III, C,BOS,35,23.5,0.747,0.61,0,8.3,1.4,0.6,1.4,1,8,22.6
140,Malik Monk, SG,SAC,77,22.3,0.448,0.889,1.9,2.6,3.9,0.6,0.3,1.9,13.5,22.6
141,Onyeka Okongwu, PF,ATL,80,23.1,0.638,0.781,0.1,7.2,1,0.7,1.3,1,9.9,22.6
142,Monte Morris, PG,WAS,62,27.4,0.48,0.831,1.3,3.4,5.3,0.7,0.2,1,10.3,22.6
143,Bruce Brown, SF,DEN,80,28.5,0.483,0.758,1.1,4.1,3.4,1.1,0.6,1.5,11.5,22.4
144,Mitchell Robinson, C,NYK,59,26.9,0.671,0.484,0,9.4,0.9,0.9,1.8,0.7,7.4,22.4
145,Isaiah Stewart, C,DET,50,28.3,0.442,0.738,1.3,8.1,1.4,0.4,0.7,1.4,11.3,22.3
146,Jalen Duren, C,DET,67,24.9,0.648,0.611,0,8.9,1.1,0.7,0.9,1.4,9.1,22.3
147,Kevon Looney, F,GSW,82,23.9,0.63,0.606,0,9.3,2.5,0.6,0.6,0.5,7,22.2
148,Caris LeVert, SG,CLE,74,30.2,0.431,0.722,1.7,3.8,3.9,1,0.3,1.6,12.1,22.2
149,Saddiq Bey, SF,ATL,77,27.6,0.422,0.861,2,4.7,1.5,0.9,0.2,0.9,13.8,22
150,Marvin Bagley III, PF,DET,42,23.6,0.529,0.75,0.5,6.4,0.9,0.5,0.7,1.1,12,21.9
151,Collin Sexton, PG,UTH,48,23.9,0.506,0.819,1,2.2,2.9,0.6,0.1,1.8,14.3,21.8
152,Jaden McDaniels, PF,MIN,79,30.6,0.517,0.736,1.4,3.9,1.9,0.9,1,1.4,12.1,21.7
153,Dennis Schroder, PG,LAL,66,30.1,0.415,0.857,1.1,2.5,4.5,0.8,0.2,1.7,12.6,21.6
154,Luguentz Dort, G,OKC,74,30.7,0.388,0.772,1.8,4.6,2.1,1,0.3,1.2,13.7,21.6
155,Killian Hayes, PG,DET,76,28.3,0.377,0.821,1.1,2.9,6.2,1.4,0.4,2.3,10.3,21.5
156,Tim Hardaway Jr., SF,DAL,71,30.3,0.401,0.77,3,3.5,1.8,0.7,0.2,0.8,14.4,21.4
157,Dillon Brooks, SF,MEM,73,30.3,0.396,0.779,2,3.3,2.6,0.9,0.2,1.4,14.3,21.3
158,Tyus Jones, PG,MEM,80,24.2,0.438,0.806,1.5,2.5,5.2,1,0.1,0.9,10.3,21.3
159,Keegan Murray, SF,SAC,80,29.8,0.453,0.765,2.6,4.6,1.2,0.8,0.5,0.8,12.2,21
160,T.J. McConnell, PG,IND,75,20.3,0.543,0.853,0.3,3.1,5.3,1.1,0.1,1.9,8.7,20.6
161,John Wall, PG,HOU,34,22.2,0.407,0.681,1,2.7,5.2,0.8,0.4,2.4,11.4,20.6
162,Naz Reid, C,MIN,68,18.4,0.537,0.677,1.1,4.9,1.1,0.6,0.8,1.4,11.5,20.5
163,Brandon Clarke, PF,MEM,56,19.5,0.656,0.719,0,5.5,1.3,0.6,0.7,1,10,20.4
164,Jarred Vanderbilt, PF,LAL,78,24.1,0.548,0.691,0.4,7.5,2.4,1.1,0.3,1.2,7.9,20.4
165,Donte DiVincenzo, SG,GSW,72,26.3,0.435,0.817,2.1,4.5,3.5,1.3,0.1,1.6,9.4,20.3
166,Jeremy Sochan, F,SAS,56,26,0.453,0.698,0.6,5.3,2.5,0.8,0.4,1.7,11,20.2
167,Alec Burks, SG,DET,51,22,0.436,0.814,1.9,3.1,2.2,0.7,0.2,1.1,12.8,20.2
168,Deni Avdija, SF,WAS,76,26.6,0.437,0.739,0.9,6.4,2.8,0.9,0.4,1.6,9.2,20
169,Royce O'Neale, PF,BKN,76,31.7,0.386,0.725,2.1,5.1,3.7,0.9,0.6,1.5,8.8,20
170,De'Anthony Melton, SG,PHI,77,27.9,0.426,0.793,2,4.1,2.6,1.6,0.5,1.3,10.1,20
171,Mark Williams, C,CHA,43,19.3,0.637,0.691,0,7.1,0.4,0.7,1,0.9,9,20
172,Daniel Gafford, C,WAS,78,20.6,0.732,0.679,0,5.6,1.1,0.4,1.3,1.1,9,19.9
173,Jeenathan Williams, G,POR,5,25.4,0.615,0.667,0.6,3,2,0.6,0.4,0.8,10.6,19.6
174,Herbert Jones, SF,NOR,66,29.6,0.469,0.764,0.8,4.1,2.5,1.6,0.6,1.3,9.8,19.6
