RK,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,RPG,APG,STPG,BLKPG,TOPG,PTS,ESPN
351,Jordan McLaughlin, PG,MIN,43,15.8,0.421,0.833,0.6,1.4,3.4,0.7,0.1,0.8,3.7,10.5
352,R.J. Hampton, PG,DET,47,16,0.43,0.75,0.9,1.9,1.1,0.6,0.2,0.9,6.4,10.4
353,Dominick Barlow, F,SAS,28,14.6,0.535,0.72,0,3.6,0.9,0.4,0.7,0.5,3.9,10.2
354,Lamar Stevens, F,CLE,62,18.1,0.448,0.702,0.5,3.3,0.5,0.4,0.3,0.4,5.3,10.1
355,Chimezie Metu, PF,SAC,66,10.4,0.589,0.74,0.1,3,0.6,0.3,0.3,0.5,4.9,10.1
356,Rodney McGruder, G,DET,32,16.4,0.408,0.818,1.3,2.3,0.9,0.5,0,0.3,5.7,9.9
357,Vlatko Cancar, SF,DEN,60,14.8,0.476,0.927,0.7,2.1,1.3,0.4,0.2,0.6,5,9.9
358,Quenton Jackson, G,WAS,9,15,0.452,0.773,0.1,0.9,1.7,0.4,0.1,0.4,6.2,9.9
359,Orlando Robinson, C,MIA,31,13.7,0.528,0.71,0,4.1,0.8,0.4,0.4,0.5,3.7,9.9
360,Jaxson Hayes, C,NOR,47,13,0.551,0.699,0.1,2.8,0.7,0.4,0.4,0.7,5,9.9
361,Jarrell Brantley, PF,UTH,4,9.8,0.571,1,1,1.5,0.8,0,0.5,0.5,5.5,9.8
362,Bruno Fernando, PF,ATL,39,10.4,0.527,0.7,0,3.5,0.8,0.2,0.9,0.6,3.9,9.8
363,Jared Butler, SG,OKC,6,12.8,0.469,0,1.2,0.7,1.3,0.8,0,0.8,6.2,9.8
364,Gorgui Dieng, C,SAS,31,11.5,0.385,0.769,0.7,3.5,1.7,0.1,0.5,1,3.9,9.7
365,Justin Minaya, F,POR,4,22.3,0.304,0,0.8,3.8,1,0.5,1.3,1,4.3,9.7
366,Rudy Gay, SF,UTH,56,14.6,0.378,0.857,0.6,2.9,1,0.3,0.3,0.7,5.2,9.7
367,Derrick Jones Jr., SF,CHI,64,14,0.5,0.738,0.4,2.4,0.5,0.5,0.6,0.4,5,9.6
368,Zeke Nnaji, PF,DEN,53,13.7,0.561,0.645,0.3,2.6,0.3,0.3,0.4,0.6,5.2,9.6
369,Luke Kornet, C,BOS,69,11.7,0.665,0.821,0,2.9,0.8,0.2,0.7,0.4,3.8,9.6
370,Haywood Highsmith, F,MIA,54,17.9,0.431,0.464,0.7,3.5,0.8,0.7,0.3,0.8,4.4,9.6
371,Duncan Robinson, F,MIA,42,16.4,0.371,0.906,1.5,1.6,1.1,0.3,0,0.7,6.4,9.5
372,Patty Mills, PG,BKN,40,14.2,0.411,0.833,1.2,1.1,1.4,0.4,0.1,0.8,6.2,9.5
373,Evan Fournier, SG,NYK,27,17,0.337,0.857,1.3,1.8,1.3,0.6,0.1,0.8,6.1,9.5
374,Ousmane Dieng, F,OKC,39,14.6,0.42,0.652,0.7,2.7,1.2,0.4,0.2,0.7,4.9,9.5
375,Xavier Cooks, G,WAS,10,12.6,0.607,0.4,0,3.8,0.6,0.6,0.4,0.8,3.8,9.5
376,Payton Pritchard, PG,BOS,48,13.4,0.412,0.75,1.2,1.8,1.3,0.3,0,0.8,5.6,9.3
377,Sam Merrill, SG,CLE,5,11.8,0.409,1,1,1.8,1,0.8,0,0,5,9.3
378,Blake Wesley, G,SAS,37,18.1,0.321,0.591,0.5,2.2,2.7,0.7,0.1,1.8,5,9.3
379,McKinley Wright IV, PG,DAL,27,12.4,0.469,0.684,0.3,1.7,2.1,0.3,0.2,0.7,4.2,9.3
380,P.J. Tucker, PF,PHI,75,25.6,0.427,0.826,0.7,3.9,0.8,0.5,0.2,0.6,3.5,9.3
381,Johnny Davis, G,WAS,28,15.1,0.386,0.519,0.6,2.3,1,0.4,0.3,0.6,5.8,9.2
382,Ziaire Williams, F,MEM,37,15.2,0.429,0.773,0.7,2.1,0.9,0.4,0.2,1,5.7,9.2
383,Derrick Rose, PG,NYK,27,12.5,0.384,0.917,0.7,1.5,1.7,0.3,0.2,0.8,5.6,9.2
384,Usman Garuba, PF,HOU,75,12.9,0.486,0.617,0.3,4.1,0.9,0.6,0.4,0.6,3,9.2
385,Meyers Leonard, C,MIL,9,12.7,0.483,0.889,0.8,3.8,0.1,0.2,0,0.7,4.8,9.2
386,Austin Rivers, SG,MIN,52,19.5,0.435,0.769,0.8,1.6,1.4,0.5,0.1,0.4,4.9,9.2
387,Christian Braun, G,DEN,76,15.5,0.495,0.625,0.4,2.4,0.8,0.5,0.2,0.5,4.7,9.2
388,Brandon Boston Jr., SG,LAC,22,11.3,0.418,0.763,0.5,1.4,0.9,0.4,0,0.5,6.5,9.2
389,Josh Christopher, SG,HOU,64,12.3,0.465,0.75,0.3,1.1,1.1,0.5,0.2,0.9,5.8,9
390,Jarrett Culver, G,ATL,10,13.7,0.395,0.692,0.1,3.8,0.6,0.6,0.2,0.7,4.4,9
391,Olivier Sarr, C,OKC,9,12.7,0.5,0.714,0.1,3.4,0.4,0.1,0.6,0.4,4,9
392,Matisse Thybulle, SG,POR,71,16.9,0.435,0.679,0.8,2,0.7,1.2,0.5,0.3,4.1,9
393,Moses Brown, C,BKN,36,8.2,0.635,0.458,0,3.9,0.1,0.1,0.4,0.4,4.3,9
394,James Bouknight, SG,CHA,34,15.1,0.358,0.667,1,2.1,1.2,0.4,0.1,0.9,5.6,8.9
395,Simone Fontecchio, F,UTH,52,14.7,0.369,0.795,1.2,1.7,0.8,0.3,0.2,0.8,6.3,8.9
396,Lindy Waters III, F,OKC,41,13,0.393,0.8,1.4,1.8,0.7,0.3,0.3,0.2,5.2,8.9
397,Nikola Jovic, F,MIA,15,13.6,0.406,0.947,0.5,2.1,0.7,0.5,0.1,0.7,5.5,8.8
398,Kenneth Lofton Jr., F,MEM,24,7.3,0.527,0.593,0.3,2.1,0.8,0.2,0.1,0.5,5,8.8
399,Bryce McGowens, G,CHA,46,17.1,0.396,0.75,0.6,2,1.2,0.3,0.1,0.9,5.3,8.7
400,Udoka Azubuike, C,UTH,36,10,0.819,0.35,0,3.3,0.3,0.2,0.4,0.5,3.5,8.7
401,Danny Green, F,CLE,11,12.6,0.449,1,1.5,1.3,0.5,0.5,0.3,0.9,5.5,8.7
402,Ish Wainright, F,PHO,60,15.3,0.37,0.839,1,2.3,0.9,0.6,0.4,0.4,4.2,8.6
403,JaVale McGee, C,DAL,42,8.5,0.64,0.585,0,2.5,0.3,0.1,0.6,0.9,4.4,8.6
404,Omer Yurtseven, C,MIA,9,9.2,0.593,0.833,0.3,2.6,0.2,0.2,0.2,0.4,4.4,8.5
405,Christian Koloko, C,TOR,58,13.8,0.48,0.627,0,2.9,0.5,0.4,1,0.3,3.1,8.4
406,Damian Jones, C,UTH,41,11.6,0.64,0.759,0.2,3,0.4,0.2,0.5,0.6,3.5,8.3
407,Dalano Banton, PG,TOR,31,9,0.423,0.708,0.5,1.5,1.2,0.4,0.4,0.6,4.6,8.3
408,MarJon Beauchamp, F,MIL,52,13.5,0.395,0.73,0.9,2.2,0.7,0.4,0.1,0.9,5.1,8.3
409,Danuel House Jr., SF,PHI,56,14.4,0.472,0.75,0.7,1.7,0.8,0.3,0.2,0.5,4.8,8.2
410,Moses Moody, SG,GSW,63,13,0.476,0.698,0.8,1.7,0.8,0.3,0.1,0.5,4.8,8.2
411,Daishen Nix, SG,HOU,57,16,0.342,0.667,0.7,1.7,2.3,0.5,0.1,1.5,4,8.1
412,Xavier Sneed, F,CHA,4,12,0.5,1,0.8,1.3,1.3,0,0.3,0.8,4.3,8
413,Isaiah Roby, F,NYK,42,11.3,0.432,0.488,0.4,2.6,0.9,0.4,0.2,0.7,4.1,7.9
414,TyTy Washington Jr., G,HOU,31,14,0.363,0.556,0.6,1.5,1.5,0.5,0.1,0.5,4.7,7.9
415,Kai Jones, PF,CHA,46,12,0.558,0.731,0.1,2.7,0.3,0.4,0.7,0.7,3.4,7.9
416,Andre Iguodala, F,GSW,8,14.1,0.467,0.667,0.1,2.1,2.4,0.5,0.4,1.1,2.1,7.9
417,Kira Lewis Jr., PG,NOR,25,9.4,0.455,0.864,0.6,1.3,0.9,0.4,0.1,0.4,4.6,7.9
418,Malachi Flynn, PG,TOR,53,13,0.36,0.758,0.9,1.4,1.3,0.4,0.1,0.5,4.6,7.8
419,Serge Ibaka, F,IND,16,11.6,0.481,0.615,0.4,2.8,0.3,0.1,0.4,0.7,4.1,7.8
420,Aaron Holiday, G,ATL,63,13.4,0.418,0.844,0.6,1.2,1.4,0.6,0.2,0.6,3.9,7.7
421,Admiral Schofield, SF,ORL,37,12.2,0.451,0.913,0.6,1.7,0.8,0.2,0.1,0.4,4.2,7.6
422,Micah Potter, C,UTH,7,7.4,0.667,0,0.6,2.3,0.6,0.1,0,0.3,3.4,7.6
423,Michael Carter-Williams, G,ORL,4,11,0.429,0.571,0.3,1.3,1.8,0.3,0.3,1,4.3,7.5
424,Keon Johnson, SG,POR,40,10.4,0.376,0.659,0.7,1.1,1.5,0.5,0.2,1.1,4.7,7.5
425,Justin Holiday, SF,DAL,46,15.3,0.377,0.625,1,1.2,0.9,0.4,0.4,0.5,4.5,7.5
426,Dru Smith, G,BKN,15,10.5,0.4,1,0.3,1.6,1.5,0.7,0.3,0.2,2.9,7.5
427,Markieff Morris, PF,DAL,35,10.1,0.409,1,0.8,2,0.9,0.3,0.1,0.5,3.8,7.4
428,Juan Toscano-Anderson, SF,UTH,52,13.5,0.448,0.792,0.2,2.4,1.3,0.3,0.2,0.7,3,7.3
429,Kevon Harris, G,ORL,34,13.4,0.439,0.756,0.5,2.1,0.5,0.5,0.1,0.6,4.1,7.3
430,Davis Bertans, SF,DAL,45,10.9,0.431,0.867,1.2,1.2,0.5,0.2,0.2,0.2,4.6,7.3
431,Garrison Mathews, SG,ATL,54,12.7,0.363,0.906,1.2,1.4,0.5,0.4,0.1,0.4,4.8,7.3
432,Raul Neto, PG,CLE,48,10.5,0.518,0.912,0.3,1,1.6,0.4,0.1,0.5,3.3,7.2
433,Johnny Juzang, G,UTH,18,12.9,0.337,0.5,0.8,2.2,0.4,0.2,0.2,0.2,4.8,7.2
434,Jabari Walker, F,POR,56,11.1,0.419,0.756,0.3,2.3,0.6,0.2,0.2,0.5,3.9,7.2
435,AJ Green, G,MIL,35,9.9,0.424,1,1.3,1.3,0.6,0.2,0,0.3,4.4,7.1
436,JT Thor, F,CHA,69,14,0.399,0.702,0.6,2.2,0.5,0.3,0.3,0.6,3.8,7
437,Juancho Hernangomez, PF,TOR,42,14.6,0.421,0.563,0.4,2.9,0.6,0.4,0.1,0.4,2.9,7
438,Wesley Matthews, SG,MIL,52,15.8,0.363,0.857,0.8,2.2,0.7,0.4,0.3,0.3,3.4,7
439,Taj Gibson, F,WAS,49,9.8,0.52,0.714,0.2,1.9,0.7,0.3,0.2,0.5,3.4,7
440,Jason Preston, PG,LAC,14,8.9,0.439,0,0.4,1.6,1.9,0.1,0,0.7,2.9,6.9
441,Caleb Houstan, G,ORL,51,15.9,0.363,0.833,0.9,1.9,0.6,0.2,0.1,0.4,3.8,6.7
442,Nerlens Noel, C,BKN,17,11.5,0.361,0.667,0.1,2.7,0.6,0.9,0.6,0.8,2.1,6.5
443,Ish Smith, PG,DEN,43,9.3,0.397,0.5,0,1.3,2.3,0.2,0.2,1,2.5,6.5
444,Jared Rhoden, G,DET,14,14.1,0.386,1,0.4,2.6,0.3,0.3,0.1,0.2,3.2,6.5
445,Anthony Gill, PF,WAS,59,10.6,0.538,0.731,0.1,1.7,0.6,0.1,0.2,0.3,3.3,6.4
446,Boban Marjanovic, C,HOU,31,5.5,0.683,0.741,0,1.9,0.3,0.2,0.1,0.5,3.3,6.4
447,Josh Minott, F,MIN,15,6.4,0.5,1,0.1,1.7,0.3,0.3,0.4,0.2,3.1,6.3
448,Darius Days, F,HOU,4,6.3,0.417,1,0.8,1.5,0.3,0,0.3,0,3.8,6.3
449,David Duke Jr., G,BKN,23,9.9,0.462,0.706,0,1.3,0.9,0.4,0,0.8,3.7,6.3
450,Richaun Holmes, F,SAC,42,8.3,0.618,0.789,0.1,1.9,0.2,0.1,0.3,0.3,3.1,6.2
451,Peyton Watson, F,DEN,23,8.1,0.492,0.55,0.3,1.6,0.5,0.1,0.5,0.3,3.3,6.2
452,James Johnson, PF,IND,18,9,0.449,0.5,0.2,1.7,0.8,0.4,0.3,0.4,2.8,6.2
453,Nathan Knight, F,MIN,38,7.7,0.568,0.684,0.2,1.5,0.3,0.3,0.2,0.6,3.7,6.2
454,Max Christie, G,LAL,41,12.5,0.415,0.875,0.6,1.8,0.5,0.2,0.2,0.3,3.1,6.1
455,Jamaree Bouyea, G,WAS,5,14.2,0.429,0.5,0.4,1.2,0.8,0.8,0.4,0.8,3,6.1
456,Miles McBride, PG,NYK,64,11.9,0.358,0.667,0.6,0.8,1.1,0.6,0.1,0.4,3.5,6
457,Patrick Baldwin Jr., F,GSW,31,7.3,0.395,0.667,1,1.3,0.4,0.2,0.1,0.4,3.9,6
458,Trevelin Queen, SG,IND,7,10,0.241,1,0.3,2.4,0.9,0.3,0.7,1,3,6
459,Trent Forrest, G,ATL,23,12,0.417,0.667,0,1.6,1.7,0.3,0.1,0.7,2.3,6
460,Moussa Diabate, F,LAC,22,8.9,0.511,0.625,0,2.3,0.2,0.3,0.4,0.4,2.7,5.9
461,Jake LaRavia, F,MEM,35,11.8,0.389,0.778,0.7,1.8,0.6,0.3,0.1,0.5,3,5.9
462,Furkan Korkmaz, SG,PHI,37,9.5,0.432,0.722,0.5,1.1,0.6,0.3,0.1,0.6,3.8,5.8
463,Amir Coffey, SG,LAC,50,12.5,0.386,0.778,0.2,1.1,1.1,0.1,0.1,0.4,3.4,5.8
464,Robin Lopez, C,CLE,37,8.1,0.64,0.778,0.1,1.4,0.5,0.1,0.2,0.7,3,5.8
465,Frank Ntilikina, PG,DAL,47,12.9,0.364,0.667,0.4,1.3,1.2,0.3,0.1,0.6,2.9,5.7
466,Neemias Queta, C,SAC,5,5.8,0.667,0,0,2.2,0.2,0,0.4,0.2,2.4,5.7
467,Kessler Edwards, SF,SAC,36,10.7,0.387,0.733,0.5,1.7,0.6,0.4,0.2,0.4,2.8,5.7
468,Frank Kaminsky, PF,HOU,36,6.5,0.492,0.875,0.4,1.4,0.9,0.2,0.1,0.3,2.5,5.7
469,A.J. Lawson, G,DAL,15,7.2,0.5,0.25,0.7,1.4,0.1,0.1,0,0.2,3.7,5.7
470,Jeff Dowtin Jr., PG,TOR,25,10.4,0.439,0.667,0.2,0.9,1.2,0.4,0.1,0.2,2.4,5.5
471,Theo Pinson, G,DAL,40,8.1,0.356,0.846,0.6,1.6,1.2,0.2,0,0.3,2.4,5.5
472,Kennedy Chandler, G,MEM,36,7.8,0.422,0.462,0.1,1.1,1.6,0.3,0.1,0.5,2.2,5.5
473,Udonis Haslem, PF,MIA,7,10.3,0.345,0.8,0.4,1.6,0,0.1,0.3,0.1,3.9,5.4
474,Isaiah Mobley, F,CLE,12,7,0.429,1,0.3,1.7,0.3,0.3,0.3,0.1,2.6,5.4
475,Terry Taylor, F,CHI,31,8.5,0.52,0.545,0.2,1.5,0.3,0.1,0.2,0.3,2.9,5.3
476,Jordan Hall, G,SAS,9,9.2,0.321,0.778,0.3,1.3,1.2,0.1,0,0.8,3.1,5.2
477,Mamadi Diakite, F,CLE,22,8,0.48,1,0.3,1.4,0.4,0.2,0.4,0.5,2.6,5.2
478,Matt Ryan, F,MIN,34,9.1,0.37,0.833,0.9,0.8,0.5,0.1,0,0.2,3.6,5.1
479,Bryn Forbes, SG,MIN,25,10.7,0.361,1,0.6,0.6,0.7,0.3,0.1,0.5,3.6,5.1
480,Alex Len, C,SAC,26,6.2,0.533,0.688,0,2.3,0.5,0.2,0.4,0.6,1.7,5.1
481,Jaden Springer, G,PHI,16,5.6,0.486,0.75,0.1,0.9,0.5,0.4,0.2,0.2,2.6,5
482,Tyler Dorsey, G,DAL,3,2.7,0.8,0,0.3,0.7,0,0,0,0,3,4.9
483,Carlik Jones, G,CHI,7,8,0.4,0.625,0.4,0.7,0.9,0.3,0,0.3,2.9,4.7
484,Khem Birch, C,SAS,20,8.1,0.594,0.8,0.1,1.3,0.4,0.3,0.3,0.4,2.2,4.7
485,John Butler Jr., F,POR,19,11.6,0.321,0.75,0.4,0.9,0.6,0.4,0.5,0.1,2.4,4.7
486,Justin Champagnie, SF,BOS,5,6.8,0.333,0,0.2,1.6,0.8,0.2,0,0,2.2,4.6
487,Dalen Terry, F,CHI,38,5.6,0.444,0.667,0.2,1,0.6,0.3,0.1,0.2,2.2,4.4
488,Alize Johnson, F,SAS,4,7.5,0.5,0.5,0,2.5,0.3,0.3,0,1,1.8,4.2
489,Ron Harper Jr., F,TOR,9,5.3,0.5,1,0.3,0.8,0.4,0,0.1,0,2.2,4.1
490,Stanley Umude, G,DET,1,2,0,1,0,0,0,1,1,0,2,4.1
491,Davon Reed, SG,LAL,43,8,0.333,0.667,0.4,1.4,0.5,0.3,0.1,0.5,2.1,4.1
492,Mfiondu Kabengele, C,BOS,4,9,0.286,1,0,2.5,0,0.5,0,0.3,1.5,4
493,Noah Vonleh, PF,SAS,23,7.5,0.458,1,0,2.1,0.3,0.1,0.3,0.5,1.1,3.9
494,Garrett Temple, SF,NOR,25,6.5,0.4,0.75,0.4,0.7,0.5,0.4,0.1,0.2,2,3.8
495,Kendall Brown, SG,IND,6,6.7,0.571,0.5,0,1,0.5,0.7,0,0.3,1.5,3.8
496,JD Davison, SG,BOS,12,5.5,0.421,0.5,0.2,0.8,0.9,0.2,0.2,0.3,1.6,3.8
497,Xavier Moon, PG,LAC,4,5,0.333,0,0.3,0.8,1.3,0,0,0.3,1.8,3.8
498,Devon Dotson, G,WAS,6,8.8,0.1,0,0.2,1.7,1.3,0.8,0,0.5,0.5,3.6
499,Matthew Dellavedova, PG,SAC,32,6.7,0.34,0.571,0.3,0.4,1.3,0.2,0,0.3,1.5,3.5
500,Lester Quinones, G,GSW,4,4.5,0.4,0.667,0.5,0.8,0.5,0.3,0,1.3,2.5,3.3
501,Wendell Moore Jr., G,MIN,29,5.3,0.419,0.8,0.1,0.6,0.6,0.3,0.2,0.3,1.4,3.2
502,KZ Okpala, SF,SAC,35,7.1,0.421,0.875,0.2,1,0.4,0.2,0.2,0.2,1.3,3.2
503,Greg Brown III, PF,POR,16,5.8,0.393,0.417,0.1,1.2,0.2,0.3,0.3,0.4,1.8,3.2
504,Kobi Simmons, G,CHA,5,5.6,0.167,1,0.2,0.8,1,0,0.4,0.2,1,3.2
505,Vince Williams Jr., G,MEM,15,7,0.3,1,0.3,1,0.3,0.4,0.1,0.3,2,3.2
506,Ryan Arcidiacono, G,POR,20,8.6,0.243,0,0.4,0.8,1.2,0.3,0,0.4,1.3,3.2
507,Scotty Pippen Jr., G,LAL,6,5.3,0.333,0.556,0.2,0.7,0.3,0.3,0.2,0.3,2.3,3.2
508,Tony Bradley, C,CHI,12,2.8,0.5,1,0.3,0.9,0.1,0.1,0.1,0.1,1.6,3.1
509,Facundo Campazzo, G,DAL,8,6.5,0.231,0.5,0.4,0.3,1.1,0.8,0,0.4,1.3,3.1
510,Jordan Schakel, F,WAS,2,3,0.5,0,0.5,0,0.5,0.5,0,0,1.5,3.1
511,Cole Swider, F,LAL,7,5.9,0.333,0,0.4,1,0.6,0,0,0,1.3,3
512,Vit Krejci, G,ATL,29,5.7,0.405,0.5,0.2,0.9,0.6,0.2,0,0.2,1.2,3
513,Isaiah Todd, PF,WAS,6,10.2,0.167,1,0.2,2,0.7,0.2,0,0.3,1.5,3
514,Keon Ellis, G,SAC,16,4.4,0.438,0.571,0.4,0.5,0.4,0.3,0.1,0.1,1.5,3
515,Thanasis Antetokounmpo, SF,MIL,37,5.6,0.435,0.5,0,1.2,0.4,0.1,0.1,0.3,1.4,2.9
516,PJ Dozier, G,SAC,16,4.9,0.303,0,0.1,0.9,0.6,0.4,0.1,0.3,1.4,2.9
517,Ryan Rollins, G,GSW,12,5.2,0.35,1,0.3,1,0.5,0.1,0.1,1.3,1.9,2.9
518,Jack White, F,DEN,17,3.9,0.421,0.667,0.2,1,0.2,0.2,0.1,0.1,1.2,2.8
519,Dylan Windler, SG,CLE,3,3.3,0.667,0,0.3,0,0.3,0.3,0,0.3,1.7,2.8
520,Donovan Williams, G,ATL,2,2,0.4,0,0,1,0,0,0,0,2,2.8
521,Sterling Brown, SF,LAL,4,6,0,0,0,2,0.5,0.8,0,0,0,2.7
522,Chris Silva, F,DAL,1,3,1,0,0,0,0,0,0,1,2,2.3
523,Justin Jackson, SF,OKC,23,4.7,0.259,0.5,0.2,0.7,0.4,0.2,0.2,0.1,0.9,2.2
524,Braxton Key, G,DET,3,3,1,1,0,0.3,0,0,0,0,1.3,2.2
525,Tyrese Martin, G,ATL,16,4.1,0.391,1,0.1,0.8,0.1,0.1,0,0.1,1.3,2.1
526,Trevor Hudgins, G,HOU,5,5.6,0.222,1,0.4,0,0.6,0,0,0.2,1.8,2.1
527,Vernon Carey Jr., C,WAS,11,2.5,0.25,1,0,1,0.3,0.2,0.2,0.2,0.5,2
528,Buddy Boeheim, F,DET,10,9,0.185,1,0.4,0.6,0.4,0.2,0,0,1.6,2
529,Malcolm Hill, F,CHI,5,1.8,0.5,0,0.2,0.6,0,0,0,0,1,1.8
530,Trevor Keels, G,NYK,3,2.7,0.25,0,0.3,0.7,0,0,0,0,1,1.4
531,Joe Wieskamp, SF,TOR,9,5.6,0.214,0,0.3,0.4,0.3,0,0,0.1,1,1.4
532,Chima Moneke, F,SAC,2,4,0.5,0,0,1,0.5,0,0,1,1,1.3
533,Frank Jackson, G,UTH,1,5,0,0,0,2,1,0,0,0,0,1
534,Dereon Seabron, G,NOR,5,2.4,0.4,0,0,0.2,0,0,0,0,0.8,0.9
535,Marko Simonovic, C,CHI,7,2.9,0.286,0.5,0.1,0.3,0,0,0,0,0.9,0.8
536,Leandro Bolmaro, F,UTH,14,4.9,0.15,0,0,0.5,0.5,0.2,0.1,0.5,0.4,0.8
537,Michael Foster Jr., F,PHI,1,1,0,0,0,0,0,0,0,0,0,0
538,Alondes Williams, G,BKN,1,5,0,0,0,1,0,0,0,2,0,-0.4
539,Deonte Burton, F,SAC,2,3,0,0,0,0,0,0,0,0,0,-0.8
